20200208,徐汇,漕河泾,精装修两房，南北户型，楼层好。近地铁，交通便利,500万,2室2厅 | 73.93平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5SGmJTe2L_1.jpg.296x216.jpg
20200208,徐汇,漕河泾,业主低价诚售，徐汇产权，近地铁漕河泾，双南大两房,460万,2室1厅 | 90.28平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b51bd39a-0cc3-4d23-885e-fd0a9d8f16c6.jpg.296x216.jpg
20200208,徐汇,漕河泾,中环旁 徐汇产权 满五年 08年商品房,729万,2室1厅 | 97.96平米 | 南 | 精装 | 低楼层(共16层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-964662a9-9a4f-4095-8b9b-8ef0117ccc1e.jpg.296x216.jpg
20200208,徐汇,漕河泾,航天新苑 3室2厅 678万,678万,3室2厅 | 119.39平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d49dda89-9ba0-4e2e-bf7c-7b2881c93383.jpg.296x216.jpg
20200208,徐汇,漕河泾,徐汇产权，满五年唯一，近地铁低楼层，全明户型,355万,2室1厅 | 60.16平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-82a9cb15-4129-4557-a69e-c986b373e953.jpg.296x216.jpg
20200208,徐汇,漕河泾,精装三居室，9号线地铁口，08年电梯徐汇产权,850万,3室2厅 | 110.72平米 | 南 | 精装 | 中楼层(共17层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-994fc5c9-d0ac-40ae-9d80-bd6d2bdedf07.jpg.296x216.jpg
20200208,徐汇,漕河泾,徐汇产权，电梯一房，近漕河泾站，中间层，户型正气,435万,1室1厅 | 55.55平米 | 南 | 精装 | 高楼层(共17层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9eeea44f-e1e7-4ee0-a0a6-f033b4babba8.jpg.296x216.jpg
20200208,徐汇,漕河泾,全天采光，小区中间位置，一梯两户,540万,2室1厅 | 85.49平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-db02c4ca-046c-47a8-b122-1ac5f98a09f3.jpg.296x216.jpg
20200208,徐汇,漕河泾,户数少，房型正，电梯高层， 顶楼复式，独享大露台！,1300万,3室2厅 | 122.25平米 | 南 | 精装 | 高楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20160324/828617fd-8c67-475d-a3f2-5edcc455c63b.jpg.296x216.jpg
20200208,徐汇,漕河泾,钦江大楼 2室2厅 980万,980万,2室2厅 | 145.13平米 | 南 | 精装 | 高楼层(共16层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_T1pixydYu_1.jpg.296x216.jpg
20200208,徐汇,漕河泾,中环边 9号线地铁口 带地下室三房诚售 徐汇产权,860万,3室2厅 | 154平米 | 南 | 简装 | 低楼层(共16层) | 2008年建 | 板楼,
20200208,徐汇,漕河泾,9号线地铁口，08年徐汇产权，两百平大复式带车位房主自荐,1040万,6室4厅 | 216.51平米 | 南 | 简装 | 低楼层(共18层) | 2008年建 | 板楼,
20200208,徐汇,漕河泾,标注南北直通两房 高楼层 采光好 通风好 地铁口,715万,2室2厅 | 87平米 | 南 | 简装 | 高楼层(共35层) | 2015年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/prod-250ce4e2-f7b0-49f7-b9a5-5d9d262ce2e1.png.296x216.jpg
20200208,徐汇,漕河泾,漕河泾地铁边 徐汇产权 小户型诚售,385万,1室1厅 | 63.71平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,
20200208,徐汇,漕河泾,漕河泾地铁口，08年次新房，徐汇产权，不靠中环,1300万,6室4厅 | 220平米 | 南 | 精装 | 低楼层(共17层) | 2008年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170515/ae902e9a-a44b-48b9-b36b-166c9bfd79a8.jpg.296x216.jpg
