20200208,闵行,莘庄,景观电梯三房 南北通 精装 带产权车位 金地物业必看好房,529万,3室2厅 | 112.34平米 | 南 | 精装 | 高楼层(共13层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OV1z8XRoV.jpg.296x216.jpg
20200208,闵行,莘庄,南北通南北双阳台景观楼层业主诚意出售专属委托必看好房,475万,2室2厅 | 98.17平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/fc289f4e-9ce0-4fc6-a6f0-307812af29c6_1000.jpg.296x216.jpg
20200208,闵行,莘庄,地铁电梯大一房，楼层佳，税费少必看好房,255万,1室1厅 | 55.49平米 | 南 | 简装 | 中楼层(共20层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_Cf0ekgQyg_1.jpg.296x216.jpg
20200208,闵行,莘庄,低楼层南北小两房    带院子   总价低！！！必看好房,200万,2室0厅 | 50.76平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VvBmlonda_1.jpg.296x216.jpg
20200208,闵行,莘庄,满五唯一 中间楼层 精装修 诚意卖必看好房,150万,1室1厅 | 38.21平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mFkAGLKhj_1.jpg.296x216.jpg
20200208,闵行,莘庄,中间楼层+售后公房+小户型居家装修+看房方便必看好房,195万,1室1厅 | 35.32平米 | 南 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rAvONYzCE_1.jpg.296x216.jpg
20200208,闵行,莘庄,小区里面位置：经典复式，房型正气，附带约80平大露台必看好房,875万,4室2厅 | 170.61平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ROrF8oDNo_1.jpg.296x216.jpg
20200208,闵行,莘庄,绿梅三村 1室1厅 246万必看好房,246万,1室1厅 | 50.68平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-08743b9f-9fd9-4895-89fe-33fd1e23641d.png.296x216.jpg
20200208,闵行,莘庄,位置好 楼层好 南北通风两房 边套全明户型 装修好必看好房,385万,2室1厅 | 56.99平米 | 南 | 精装 | 中楼层(共5层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RgSlcFYjW_1.jpg.296x216.jpg
20200208,闵行,莘庄,原始户型无改动，两房朝南，栋距大无遮挡，看房随时必看好房,345万,2室2厅 | 104.27平米 | 南 | 毛坯 | 中楼层(共13层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AFwIxpzqs_1.jpg.296x216.jpg
20200208,闵行,莘庄,莘城苑 居家精装 满足你的想象必看好房,316万,2室2厅 | 81.62平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/7cb73bbc-bda5-4fff-abdc-baf0b40d9b61_1000.jpg.296x216.jpg
20200208,闵行,莘庄,诚意出售，看房方便，价格实惠，产权干净必看好房,485万,3室2厅 | 123.73平米 | 南 | 简装 | 高楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Zb3w3f8Pc_1.jpg.296x216.jpg
20200208,闵行,莘庄,满五唯一税少，南北通透，三开间朝南，楼层好一梯一户必看好房,520万,3室2厅 | 136.13平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c68939f1-6d85-408e-a6b5-c43316b5cdd4.jpg.296x216.jpg
20200208,闵行,莘庄,09年小区 新装修两房 实木家具 品牌家居 海尔电器必看好房,403万,2室2厅 | 80.17平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gyiGPLLUT_1.jpg.296x216.jpg
20200208,闵行,莘庄,带院子的双南两房     一梯两户！！！必看好房,300万,2室1厅 | 73.37平米 | 南 北 | 简装 | 低楼层(共5层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9d854591-bb06-443a-bdc9-f505782abd7f.png.296x216.jpg
20200208,闵行,莘庄,上海康城四期近南门位置  装修不错 直接拎包入住必看好房,401万,3室2厅 | 113.71平米 | 南 | 精装 | 低楼层(共17层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8KpyVM1RN_1.jpg.296x216.jpg
20200208,闵行,莘庄,康城二期，南北通，买进价高，利用合理，视野好必看好房,371万,2室2厅 | 98.33平米 | 南 | 精装 | 高楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_d5jpWZACE.jpg.296x216.jpg
20200208,闵行,莘庄,中祥正气两房出售，业主诚意出售，看房方便，价格可谈必看好房,580万,2室2厅 | 127.46平米 | 南 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gNQ8J7YN8_1.jpg.296x216.jpg
