20200208,闵行,静安新城,中间楼层板式三房，精致装修拎包入住，视野开阔！,685万,3室2厅 | 116.19平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Chq20QVQW.jpg.296x216.jpg
20200208,闵行,静安新城,9号线合川路，板式全明大三房，欧派定制装修,738万,3室2厅 | 121.24平米 | 南 | 精装 | 低楼层(共7层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_R6hCd9ofM_1.jpg.296x216.jpg
20200208,闵行,静安新城,静安新城四区 3室1厅 475万,475万,3室1厅 | 100.77平米 | 南 | 简装 | 中楼层(共24层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_LbvryuYsA_1.jpg.296x216.jpg
20200208,闵行,静安新城,静安花苑(二) 2室2厅 585万,585万,2室2厅 | 90.21平米 | 南 | 简装 | 中楼层(共7层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-355624b0-6c0d-42bb-a1a6-2229b7b50a9f.png.296x216.jpg
20200208,闵行,静安新城,一年只有一套 楼层好装修好 税费少 诚意出售,835万,3室2厅 | 112.25平米 | 南 | 精装 | 低楼层(共12层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5oh7WHeED_1.jpg.296x216.jpg
20200208,闵行,静安新城,九歌花园二期两房，小区中间位置，南北通透，急售,605万,2室2厅 | 91.24平米 | 南 北 | 简装 | 低楼层(共12层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b1722ff8-283e-4262-aaba-d3130f2b7765.jpg.296x216.jpg
20200208,闵行,静安新城,房改售房免增值税！好楼层好位置！户型通透产权清晰,319万,2室1厅 | 65.72平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SthLAU5c0_1.jpg.296x216.jpg
20200208,闵行,静安新城,满五年唯一 南北通   采光好 房东诚意出售房主自荐,269万,1室1厅 | 50.19平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-111c68c0-0136-4bd0-a299-fc86d0b6d4f0.jpg.296x216.jpg
20200208,闵行,静安新城,中间楼层+格局通透+满五唯一+个税免征+拎包入住,535万,2室2厅 | 88.12平米 | 南 | 精装 | 中楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UADPoSt2S_1.jpg.296x216.jpg
20200208,闵行,静安新城,双南边套院子地下车库！房改售房满五唯一首付少税,355万,2室1厅 | 55.57平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_wSRCPuSMi_1.jpg.296x216.jpg
20200208,闵行,静安新城,大上海国际花园板式两房，居家自住，可拎包入住房主自荐,570万,2室2厅 | 91.56平米 | 南 | 精装 | 低楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c04c8852-3515-4e64-8f82-2631a7325e1b_1000.jpg.296x216.jpg
20200208,闵行,静安新城,2年内的精装修 房东自住很干净  看房方便 价格可谈,300万,1室1厅 | 48.68平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8nQsiCGJg.jpg.296x216.jpg
20200208,闵行,静安新城,2003年小区+精装修+边套+客厅带阳台大一房+一梯2户,342万,1室1厅 | 57.15平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OBzRwTXht_1.jpg.296x216.jpg
20200208,闵行,静安新城,三区目前唯一东边套，卫生间有窗，满五唯一，全明。房主自荐,398万,2室1厅 | 70.55平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e4d2bb75-b996-4c57-9795-87880e2060ca_1000.jpg.296x216.jpg
20200208,闵行,静安新城,复式3房  景观楼层 满五 三开间,515万,3室2厅 | 101.33平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Dtenya4aD_1.jpg.296x216.jpg
20200208,闵行,静安新城,静安新城五区 1室1厅 290万,290万,1室1厅 | 45.98平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iJjDIeynY_1.jpg.296x216.jpg
20200208,闵行,静安新城,非顶楼，9号线合川路地铁口200米，满五年唯一税费少,305万,1室1厅 | 53.15平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MBE2jLAc5_1.jpg.296x216.jpg
20200208,闵行,静安新城,电梯景观房，双南户型 全明格局 满五，税费少,450万,2室1厅 | 73.68平米 | 南 | 简装 | 高楼层(共24层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_usHk0lr5C_1.jpg.296x216.jpg
20200208,闵行,静安新城,大上海国际花园六区 3室2厅 570万,570万,3室2厅 | 100.2平米 | 南 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0KJx4uAfZ_1.jpg.296x216.jpg
20200208,闵行,静安新城,精致小2房，精装修、看房有钥匙房主自荐,630万,2室2厅 | 84.63平米 | 南 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d25e501c-52fd-4bec-a9a1-bfb48e81aa93.jpg.296x216.jpg
20200208,闵行,静安新城,景观电梯房 售后公房 无增值税 看房方便 诚意出售房主自荐,465万,2室1厅 | 86.05平米 | 南 | 简装 | 低楼层(共24层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-ea01ddf9-4000-46d3-b178-b115bf901f4d.jpg.296x216.jpg
20200208,闵行,静安新城,坐等有缘人，电梯复式3房，动静分离，仅此一套,868万,3室2厅 | 125.1平米 | 南 | 精装 | 中楼层(共8层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0c8f4744-0860-4d70-b329-e36bba6807fd.png.296x216.jpg
20200208,闵行,静安新城,满五年唯一  双南双天井  新装三年拎包入住  小区当中,418.5万,2室1厅 | 64.9平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6351a424-57fe-4747-9a0b-b29be8443d52_1000.jpg.296x216.jpg
20200208,闵行,静安新城,全明双南大两房+产权清晰+拎包入住+随时收定一梯2户,397万,2室2厅 | 70.55平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c6434a20-6e7d-437b-b520-a3aa51725777.jpg.296x216.jpg
20200208,闵行,静安新城,罗马园板式三房，中间位置，自住精装，满五唯一，急售房主自荐,612万,3室2厅 | 103.32平米 | 南 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0e7b7c88-6b99-43c9-bae2-46058e2a98da.png.296x216.jpg
20200208,闵行,静安新城,静安新城主要地段，中低层两房，南北卧室，居家装修,360万,2室1厅 | 65.02平米 | 南 北 | 简装 | 低楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_StqnxlHnA_1.jpg.296x216.jpg
20200208,闵行,静安新城,满五唯一，全明户，在卖总价低，采光通风好，业主诚意房主自荐,279万,1室1厅 | 51.22平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-368e041a-0750-4063-a136-b6ebe51354dd.jpg.296x216.jpg
20200208,闵行,静安新城,03年新小区  户型全明 中间楼层  价格有空间 看房随时房主自荐,440万,2室1厅 | 75.64平米 | 南 | 精装 | 中楼层(共7层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XbqZwkCS3_1.jpg.296x216.jpg
20200208,闵行,静安新城,中间三楼、精装修、地铁800米、南北通风,565万,2室2厅 | 91.56平米 | 南 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7gPon1E5Z.jpg.296x216.jpg
20200208,闵行,静安新城,满五唯一唯一任何税费总价便宜带一个大院子,308万,2室1厅 | 59.41平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CH41TM7Mx_1.jpg.296x216.jpg
