20200208,宝山,大场镇,此房两卧朝南，全明户型，交通便利，业主诚心出售房主自荐,318万,3室1厅 | 92.23平米 | 西 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jofauMt3T_1.jpg.296x216.jpg
20200208,宝山,大场镇,14年 次新地铁电梯3房 精装修,550万,3室2厅 | 105.02平米 | 南 北 | 精装 | 中楼层(共14层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DP8tqMNpu_1.jpg.296x216.jpg
20200208,宝山,大场镇,户型方正，南北通，精装修，近地铁，高品质小区,560万,3室2厅 | 132.22平米 | 南 西南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fNWHBKOeS_1.jpg.296x216.jpg
20200208,宝山,大场镇,和泰苑 1室1厅 268万,268万,1室1厅 | 57.83平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5f7d899a-a556-4a4f-a4c5-a0e5902e0c2e.jpg.296x216.jpg
20200208,宝山,大场镇,乾溪新村 1室1厅 188万房主自荐,188万,1室1厅 | 44.82平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KqDe5wbTo_1.jpg.296x216.jpg
20200208,宝山,大场镇,08年商品房，看房方便，房东诚意出售,520万,4室2厅 | 137.37平米 | 南 | 简装 | 高楼层(共7层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7c031408-caca-4655-9810-0d6a0d300701.jpg.296x216.jpg
20200208,宝山,大场镇,满五年唯一高区精装另有产权车位可出售地铁就在家门口,715万,4室2厅 | 138.5平米 | 南 北 | 精装 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_J4ZyfCUqY.jpg.296x216.jpg
20200208,宝山,大场镇,婚房装修保养很好，可以直接拎包入住，改好了两房。,285万,2室1厅 | 59.94平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-6786e908-31c5-4042-a217-2e110a3b17b3.png.296x216.jpg
20200208,宝山,大场镇,和泰苑 标准大两房 近国贸经纬商圈 配套齐全,335万,2室2厅 | 90.32平米 | 南 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_K5IyHNbXu_1.jpg.296x216.jpg
20200208,宝山,大场镇,新上好房 小区中间位置 采光好无遮挡 速度联系看房吧房主自荐,278万,2室1厅 | 72.24平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5o2waPy8y_1.jpg.296x216.jpg
20200208,宝山,大场镇,精装修温馨两房一厅，七号线场中路200m，非顶楼,233万,2室1厅 | 54.58平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KAXWeyDld_1.jpg.296x216.jpg
20200208,宝山,大场镇,小区中间位置 次新电梯2房 开发商精装修 诚意出售,450万,2室2厅 | 83.82平米 | 南 | 精装 | 高楼层(共14层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e741a4a3-94d0-474b-a3ee-f3c518da2ac7.jpg.296x216.jpg
20200208,宝山,大场镇,7号线沿线，中环边，中间层，适宜两室，全明户型房主自荐,290万,2室1厅 | 74.87平米 | 南 北 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xTF3bg1rb_1.jpg.296x216.jpg
20200208,宝山,大场镇,满五唯一，中间楼层，户型正气，环境安静房主自荐,380万,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c1b4b687-7930-4891-afd6-376557db7e53.jpg.296x216.jpg
20200208,宝山,大场镇,业主急卖 楼层好 交通便利 配套齐全 南北户型,269.9万,2室1厅 | 72.2平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5MrV1k43T_1.jpg.296x216.jpg
20200208,宝山,大场镇,一梯两户，七号线300m，两房朝南 日照充足，诚售,245万,2室1厅 | 64.01平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e6e527cb-aca2-4bcf-b9d2-6f5d40f444e8.jpg.296x216.jpg
