20200208,闵行,春申,虹景苑 3室1厅 475万,475万,3室1厅 | 115.57平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-5dcc4c30-2881-4a41-b896-0160533d85ad.png.296x216.jpg
20200208,闵行,春申,园林式小区精装大三房+税费少+拎包入住+高档品质,990万,3室2厅 | 144.76平米 | 南 | 精装 | 低楼层(共30层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ac5b0766-13f5-4e5c-b32f-9e705f68f12c.jpg.296x216.jpg
20200208,闵行,春申,上海春城顶楼复式，房型正气，采光很好。,1250万,4室2厅 | 193.94平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bfa73333-f4d7-465f-8c9f-2ac66ae475c1.jpg.296x216.jpg
20200208,闵行,春申,春申景城MIDTOWN 3室2厅 1115万房主自荐,1115万,3室2厅 | 159.89平米 | 南 | 精装 | 低楼层(共30层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-183733be-8c8e-4927-873a-bad7b8705404.jpg.296x216.jpg
20200208,闵行,春申,顶楼挑空复式附露台 出国诚意售 满五唯一视野开阔房主自荐,650万,4室2厅 | 211.85平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-313f6e94-b2a2-4e1c-9de5-7b46a9a0329f.jpg.296x216.jpg
20200208,闵行,春申,双南两房，户型方正，少税，目测30平花园，随时看房房主自荐,358万,2室1厅 | 63.27平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8981a1cb-615a-4f9a-b9a9-600e6b9dafa0.jpg.296x216.jpg
20200208,闵行,春申,上海春城 新装修复式 两年新装 位置安静 品质住宅房主自荐,1190万,4室2厅 | 197.9平米 | 南 | 精装 | 低楼层(共9层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2c8636c4-e758-4f6a-81e6-476baa807368.jpg.296x216.jpg
20200208,闵行,春申,新出四房，诚意出售，到价可签字，中间楼层采光好。房主自荐,998万,4室2厅 | 151.62平米 | 南 | 精装 | 中楼层(共18层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-eefc3690-e540-40f8-a13a-8cfd64521b21.jpg.296x216.jpg
20200208,闵行,春申,《好房推荐》景城南北户型+双卫，精装拎包入住+税少房主自荐,683万,2室2厅 | 106.82平米 | 南 北 | 精装 | 中楼层(共16层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2f0d4343-940f-4edb-9eb0-ea8e7397e56e.jpg.296x216.jpg
20200208,闵行,春申,银泰苑动迁房两房，户型正气。楼层位置好,355万,2室2厅 | 84.9平米 | 南 | 简装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Et9sCVfhk_1.jpg.296x216.jpg
20200208,闵行,春申,精装大四房+使用面积260平顶楼复式+满五唯一+产权车位,998万,4室2厅 | 130.35平米 | 南 | 精装 | 高楼层(共17层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f36e4e07-b0fa-409f-943a-a4e9504f67bb.png.296x216.jpg
20200208,闵行,春申,银河新都，精装两房，高楼层，业主诚售,360万,2室1厅 | 76.3平米 | 南 | 精装 | 中楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fd23fbef-c083-4114-8728-61662b0ce415.jpg.296x216.jpg
20200208,闵行,春申,小区经典户型，两南一北户型方正，位置好，楼层佳,710万,3室2厅 | 139.99平米 | 南 | 精装 | 低楼层(共16层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e4e30abe-f805-403c-9e66-b7ce5ef51518.jpg.296x216.jpg
20200208,闵行,春申,【两年前装修】【双阳台双南】【采光好】【一梯两户】,345万,2室2厅 | 87.53平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6495e046-ce07-4ea1-926a-27b048327cfc.jpg.296x216.jpg
20200208,闵行,春申,用心选房 银泰苑精装修两房 近地铁口双柏路 看房方便,360万,2室2厅 | 85平米 | 南 北 | 精装 | 中楼层(共9层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_96rbWke2m_1.jpg.296x216.jpg
20200208,闵行,春申,正气三房+满五年唯一+中间位置+下午六点后看房方便,305万,3室1厅 | 86.6平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8b5c1b91-eaa4-4ae4-bdc5-ffbe0b90e4c2.png.296x216.jpg
20200208,闵行,春申,位置楼层不错，精装修，可以拎包入住，就读方便。,570万,2室2厅 | 87.95平米 | 南 | 精装 | 中楼层(共5层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-44ae0b1d-7b5c-4a71-824f-74c090356ba9.jpg.296x216.jpg
20200208,闵行,春申,附带私家车位，满五税费少，飞机户型房型正，无遮挡,1080万,3室2厅 | 140.51平米 | 南 | 精装 | 高楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ded771e4-071c-4ef9-aa45-acec3a6baa4a.jpg.296x216.jpg
20200208,闵行,春申,五街坊新出边套全明大两房，三十万精装修！,360万,2室1厅 | 63.7平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-313bbc4c-b670-49c9-bb60-4699f99587ff.jpg.296x216.jpg
20200208,闵行,春申,动迁，免增值税，高区楼层，南北视野开阔，纯毛坯,419万,2室2厅 | 92.67平米 | 南 北 | 毛坯 | 高楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uN8G6GxX0_1.jpg.296x216.jpg
20200208,闵行,春申,正气一房，采光好，动迁税少，产权清晰，诚意出售房主自荐,265万,1室1厅 | 62.94平米 | 南 | 毛坯 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wnOzTfJna_1.jpg.296x216.jpg
20200208,闵行,春申,中城绿苑 3室2厅 755万,755万,3室2厅 | 115.02平米 | 南 | 精装 | 高楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_K5KCFEozn_1.jpg.296x216.jpg
20200208,闵行,春申,次新房，满五唯一精装修，双南两房，大润发对 面,555万,2室2厅 | 90.51平米 | 南 | 其他 | 低楼层(共19层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CpFwT9DkO_1.jpg.296x216.jpg
20200208,闵行,春申,满五唯一，产权清晰，空中花园，业主诚意,578万,2室2厅 | 94.59平米 | 南 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IvtQtIhVI_1.jpg.296x216.jpg
20200208,闵行,春申,春申景城湖畔林语  南北通 万科物业 人车分流 带花园,738万,2室2厅 | 103.44平米 | 南 | 精装 | 低楼层(共17层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ff8068fc-c8f9-4d94-84e0-67e12e625a50.jpg.296x216.jpg
20200208,闵行,春申,前排无遮挡，大金空调带地暖，装修保养好可拎包入住房主自荐,849万,3室2厅 | 131平米 | 南 北 | 精装 | 低楼层(共21层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a7ea174b-17c6-408e-a3cd-49d59d31d19b.jpg.296x216.jpg
