20200208,徐汇,田林,徐家汇内环边上，94年精装1梯2户，地铁宜山路3/4/9必看好房,479万,2室1厅 | 66.45平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-08660996-1918-41f9-8783-99693bba66f9.jpg.296x216.jpg
20200208,徐汇,田林,售后公房税费少+双南两房采光充足+中间楼层位置好必看好房,365万,2室0厅 | 48.66平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e184e4d0-0367-4819-a2df-d9737d022a5c_1000.jpg.296x216.jpg
20200208,徐汇,田林,小区中间 南北通全明，一楼带大天井，适宜老人居住必看好房,250万,1室0厅 | 37平米 | 南 | 简装 | 低楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SofE8CfDm_1.jpg.296x216.jpg
20200208,徐汇,田林,精装修一室一厅  近地铁  生活方便必看好房,245万,1室1厅 | 34.47平米 | 南 | 精装 | 低楼层(共6层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qaFCj1Pez_1.jpg.296x216.jpg
20200208,徐汇,田林,边套户型，总价低！位置好！视野开阔！希望年前出售必看好房,265万,1室0厅 | 36.16平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_F9Ix5cpMT_2.jpg.296x216.jpg
20200208,徐汇,田林,一门一户带花园，采光好，诚意出售，看房随时能看必看好房,237万,1室2厅 | 36.33平米 | 南 | 简装 | 6层 | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b2e166a3-7e21-4040-9968-c15bc3fa6eca.jpg.296x216.jpg
20200208,徐汇,田林,业主急售 边套全明大两房 9号线桂林路站 配套齐全,650万,2室1厅 | 104.48平米 | 南 | 精装 | 高楼层(共29层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_Znj3jGv3j_1.jpg.296x216.jpg
20200208,徐汇,田林,环境安静  户型方正 业主诚意度极高 看房方便,428万,2室1厅 | 69.76平米 | 南 | 简装 | 低楼层(共18层) | 1996年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_vt3AjAuUg_2.jpg.296x216.jpg
20200208,徐汇,田林,户型正气，带采光天井，税费少，精装修，可拎包入住房主自荐,315万,1室0厅 | 32.18平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CG5vsSMHP_1.jpg.296x216.jpg
20200208,徐汇,田林,房型正气，采光充足，满五唯一，看房方便。房主自荐,1130万,3室2厅 | 141.45平米 | 南 | 简装 | 低楼层(共12层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-591254d1-2b4c-4091-9bad-9eee16b84793.jpg.296x216.jpg
20200208,徐汇,田林,房改售房 税费少 精装修 信任托付 专属委托,450万,2室1厅 | 70.31平米 | 东 | 精装 | 低楼层(共28层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_vfzPxdUQK_3.jpg.296x216.jpg
20200208,徐汇,田林,爱建园景观大三房 前后无遮挡 业主急售,1280万,3室2厅 | 147.28平米 | 南 北 | 精装 | 高楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jOpkL4n5k_2.jpg.296x216.jpg
20200208,徐汇,田林,一梯两户，98年房龄，满五不唯一，楼层好，诚意出售,610万,2室1厅 | 84.02平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b4ab2125-1547-4867-8f2d-45bb77937823_1000.jpg.296x216.jpg
20200208,徐汇,田林,田林一村 1室1厅 258万,258万,1室1厅 | 40.26平米 | 南 | 其他 | 中楼层(共5层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_66ACbKeld_1.jpg.296x216.jpg
20200208,徐汇,田林,房型正气，97年房龄，得房率高 配套齐全 看房方便,1200万,4室2厅 | 211.43平米 | 南 北 | 精装 | 6层 | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/5bfa9182-cc97-46cf-94a7-d28290bc821c_1000.jpg.296x216.jpg
20200208,徐汇,田林,地铁直线距离150米 售后公房 满五唯一 看房方便,320万,2室0厅 | 51.04平米 | 南 北 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wWttI5nOY_1.jpg.296x216.jpg
20200208,徐汇,田林,全明户型，税费少总价低随时，业主诚意出售,268万,1室1厅 | 34.3平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8Fl4z82GW_2.jpg.296x216.jpg
20200208,徐汇,田林,尚汇豪庭精装2加1房型，带车位，业主诚售，有钥匙房主自荐,1450万,2室2厅 | 136.65平米 | 南 | 精装 | 低楼层(共28层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e8f5362f-e775-4d4b-a467-051db0c829f4.jpg.296x216.jpg
20200208,徐汇,田林,11年板式南北两房，房东诚意出售，产权清晰，停车方便,760万,2室2厅 | 86.86平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cYJDMEOxL_1.jpg.296x216.jpg
20200208,徐汇,田林,满五唯一，全明，次卧有2窗，位置和视野佳，无户口。房主自荐,415万,2室0厅 | 50.62平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FX1PdNTgq_2.jpg.296x216.jpg
20200208,徐汇,田林,边套全明的南北大一房中间楼层商圈配套完善  近地铁,268万,1室1厅 | 40.11平米 | 南 | 简装 | 中楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9C7L2mezG_1.jpg.296x216.jpg
20200208,徐汇,田林,长春新苑 1室1厅 400万,400万,1室1厅 | 56.75平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_soVp43lXr.jpg.296x216.jpg
20200208,徐汇,田林,满五年不唯一      看房子提前约           楼层好,365万,2室1厅 | 60.5平米 | 南 | 简装 | 5层 | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/2acb2529-fede-413f-a7e3-415bbde9a7c0_1000.jpg.296x216.jpg
20200208,徐汇,田林,等你来！诚意出售，户型正气，采光好，价格可谈房主自荐,580万,3室1厅 | 74.49平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vSscmzdYw.jpg.296x216.jpg
20200208,徐汇,田林,尚汇一期大宅4+1房型徐汇高品质大面积户型的明智之选房主自荐,3100万,5室2厅 | 271.28平米 | 南 | 精装 | 中楼层(共29层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nLWYGzbvy_1.jpg.296x216.jpg
20200208,徐汇,田林,2002年品质小区  中高楼层视野好 业主变现诚心卖房主自荐,1150万,3室2厅 | 140.6平米 | 南 | 简装 | 中楼层(共22层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ce652b2b-0304-490c-9cd8-31be91e45102.jpg.296x216.jpg
20200208,徐汇,田林,锦馨苑电梯两房，高区采光，四期2007年房龄，板式户型,790万,2室2厅 | 93.4平米 | 南 | 简装 | 高楼层(共14层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_H66izgy7H_1.jpg.296x216.jpg
20200208,徐汇,田林,本房格局宽敞明亮，业主诚意出售，价格可谈，带车位。,1260万,3室2厅 | 149.23平米 | 南 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f32cd067-9b0e-408f-9e47-8f408f6f5ce0.png.296x216.jpg
20200208,徐汇,田林,带产权车位 近六院 靠地铁 高区楼层 得房率高 全明房主自荐,875万,2室2厅 | 106.38平米 | 南 | 精装 | 中楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-964b2a28-67a7-4fb9-b625-a106dc86b3c5.jpg.296x216.jpg
20200208,徐汇,田林,正中C位，2014年小区两南一北南北通，位置楼层俱佳房主自荐,990万,3室2厅 | 122.16平米 | 南 | 精装 | 中楼层(共35层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-754e2692-3cd8-4d79-9c27-c1693be98977.jpg.296x216.jpg
20200208,徐汇,田林,复式带花园大四房 房型正气 配套齐全 看房方便,1200万,5室2厅 | 206.28平米 | 南 北 | 简装 | 6层 | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7CYlE1E2z_1.jpg.296x216.jpg
20200208,徐汇,田林,一楼还可以采光这么好？就它了！满五唯一，1995年房龄,385万,2室0厅 | 48.26平米 | 南 | 简装 | 低楼层(共5层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Bvfu9PBWR_1.jpg.296x216.jpg
20200208,徐汇,田林,南北通 复式4房、带三个露台 、视野宽阔、有固定车位,1560万,4室2厅 | 223.56平米 | 南 | 精装 | 高楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cda82cd3-781e-4e5b-8f16-c7fe0076114a.jpg.296x216.jpg
20200208,徐汇,田林,总价低，南北通透，采光充足，配套齐全，交通便利房主自荐,398万,2室0厅 | 50.13平米 | 南 北 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ce34c200-95b1-42ff-86cb-9e6bfe8c6fb6.jpg.296x216.jpg
20200208,徐汇,田林,满五唯一无个税，采光无遮挡，三房朝南，正气大三房，房主自荐,1270万,3室2厅 | 149.08平米 | 南 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8222cff5-3a01-4c29-8aae-cc85f50a23c5.jpg.296x216.jpg
20200208,徐汇,田林,园林式小区、内环边、环境好、出行方便、两梯两户,1390万,4室2厅 | 171.08平米 | 南 | 精装 | 低楼层(共15层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_y9lSFRgw0_2.jpg.296x216.jpg
20200208,徐汇,田林,房子满五不唯一一房一厅户型近六院近地铁诚意出售房主自荐,333万,1室1厅 | 48.3平米 | 南 | 精装 | 中楼层(共18层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/9664cf2c-d541-4c8f-b501-aa4a039456f6_1000.jpg.296x216.jpg
20200208,徐汇,田林,田林十一村，售后公房，南北边套通风好，房东诚意售房主自荐,375万,2室1厅 | 50.09平米 | 南 | 毛坯 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c2d44066-250d-4adf-903a-b7f575c09503.jpg.296x216.jpg
