20200208,闵行,吴泾,此房满五年唯一自住装修，采光好，诚心卖,350万,2室2厅 | 98.24平米 | 南 北 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7228a556-d17a-45be-95c4-13487a913926.jpg.296x216.jpg
20200208,闵行,吴泾,万科阳光苑 南北双阳台 户型好 采光好 楼层好 位置佳,345万,2室2厅 | 92.02平米 | 南 | 其他 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kagmfn9h7_1.jpg.296x216.jpg
20200208,闵行,吴泾,新华小区精装修两房，低楼层，新装修，拎包即住,260万,2室1厅 | 81.38平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2fa60f84-0d35-4b09-961b-b8ba1fdccade.jpg.296x216.jpg
20200208,闵行,吴泾,枫桦景苑一期 3室2厅 413万,413万,3室2厅 | 107.22平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aheRYPNDo_1.jpg.296x216.jpg
20200208,闵行,吴泾,满五唯一免个税+南北通小三房+电梯好楼层,369万,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共17层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a2383d11-bc0f-4620-a43e-9a5ad5e54caa.png.296x216.jpg
20200208,闵行,吴泾,满五年  一楼双南两房带天井，诚意出售，看房方便,235万,2室1厅 | 74.92平米 | 南 北 | 毛坯 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nVikEbisr_1.jpg.296x216.jpg
20200208,闵行,吴泾,双天井大两房 采光无遮挡 满五唯一 看房方便,310万,2室2厅 | 92.47平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QEeDCJ14u_1.jpg.296x216.jpg
20200208,闵行,吴泾,枫桦景苑二期 2室2厅 405万,405万,2室2厅 | 102.25平米 | 南 北 | 精装 | 中楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KZnco8O7G_1.jpg.296x216.jpg
20200208,闵行,吴泾,虹梅景苑四街坊 2室2厅 356万,356万,2室2厅 | 91.7平米 | 南 北 | 其他 | 中楼层(共13层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Bfe9BdcKa_1.jpg.296x216.jpg
20200208,闵行,吴泾,万科 南北阳台 满五唯一省税 楼层采光好 地暖 有车位,350万,2室2厅 | 84.42平米 | 南 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2RrtL6uYB_1.jpg.296x216.jpg
