20200208,宝山,共康,附超大花园+采光无遮挡+两房两卫朝+买进价高+方便看房,580万,2室2厅 | 98.25平米 | 南 北 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2u5P83q2D_1.jpg.296x216.jpg
20200208,宝山,共康,中环国际公寓(二期) 3室2厅 599万,599万,3室2厅 | 109.24平米 | 南 北 | 精装 | 高楼层(共17层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Vy7SlTH1H_1.jpg.296x216.jpg
20200208,宝山,共康,九英里 2室2厅 525万房主自荐,525万,2室2厅 | 98.76平米 | 南 | 精装 | 低楼层(共12层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fE7pFesG6_1.jpg.296x216.jpg
20200208,宝山,共康,共康五村双南两房，看房方便，房东诚意出售,308万,2室1厅 | 65.79平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NjJIiTPJa_1.jpg.296x216.jpg
20200208,宝山,共康,一号线共康路站 17平方的沙发厅，全明户型，随时可看,290万,2室1厅 | 70.4平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/87b1ace1-c2c1-4fe2-a2fe-fd0c79f27000_1000.jpg.296x216.jpg
20200208,宝山,共康,边套+商圈配套成熟+满五唯一省税+房东诚意出房主自荐,249万,2室1厅 | 61.5平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9b20b036-5701-4497-86f3-0c91ced85501.png.296x216.jpg
20200208,宝山,共康,九英里 2室2厅 520万,520万,2室2厅 | 98.7平米 | 南 | 精装 | 高楼层(共12层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-dbf6b10b-8219-44fd-ba17-e88a58f62a41.png.296x216.jpg
20200208,宝山,共康,07年次新房+小区绿化好+板式户型+增值税低+随时可看,425万,2室2厅 | 82.36平米 | 南 北 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9f17338d-dca0-4704-8518-86e600e2e1aa.jpg.296x216.jpg
20200208,宝山,共康,双南两房，采光充足，业主诚意出售，随时看房,273万,2室1厅 | 68.34平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9d95f156-2a84-4a8c-a69b-087cd5510f36.jpg.296x216.jpg
20200208,宝山,共康,底楼复式可做三房 诚意出售价格可谈 看房方便价格可谈,580万,4室2厅 | 141.57平米 | 南 | 简装 | 低楼层(共12层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-2e12205d-b44c-4682-8edb-0d04f93d0177.png.296x216.jpg
