20200208,宝山,淞宝,新！！满五唯一，一梯两户，全明户型，出入方便,160万,1室1厅 | 42.82平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oSYP0PfYd.jpg.296x216.jpg
20200208,宝山,淞宝,永清新村 简装一室一厅  满五唯一 诚意出售,150万,1室1厅 | 43.4平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_un6jr5Gbr.jpg.296x216.jpg
20200208,宝山,淞宝,厨卧朝南 全明户型 采光佳 看房方便！,150万,1室1厅 | 41.64平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YMQOEBZ52.jpg.296x216.jpg
20200208,宝山,淞宝,中间楼层 两房朝南，厨卫都是明窗 诚心出售 看房方便,265万,2室1厅 | 60.21平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3e9b5c9d-6db2-4b7a-99a0-c1e0508bc224.jpg.296x216.jpg
20200208,宝山,淞宝,白玉兰花园新出带产权车位诚意出售房主自荐,730万,3室2厅 | 140平米 | 南 北 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ebec5462-b302-4284-9459-c663f92e376a.jpg.296x216.jpg
20200208,宝山,淞宝,新！！永清二村中等楼层  全明户型    一梯两户,166万,1室1厅 | 42.9平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0ykxP8t2L.jpg.296x216.jpg
20200208,宝山,淞宝,宝钢二村 2室0厅 220万,220万,2室0厅 | 46.37平米 | 南 北 | 精装 | 低楼层(共6层) | 1978年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OKJsrnu13.jpg.296x216.jpg
20200208,宝山,淞宝,密山二村 1室1厅 155万,155万,1室1厅 | 36.44平米 | 南 | 其他 | 低楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_93vQeSgeF.jpg.296x216.jpg
20200208,宝山,淞宝,宝山二村，舒适三房，看房方便哦！,350万,3室1厅 | 87.28平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nYM0umVh3.jpg.296x216.jpg
20200208,宝山,淞宝,精装修，满五唯一，顶楼带阁楼.房主自荐,480万,4室2厅 | 102.99平米 | 南 北 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mMLOoRLIo.jpg.296x216.jpg
