20200208,闵行,老闵行,2+1小三房，中间楼层，边套采光好，看房方便必看好房,246万,3室1厅 | 83.33平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WJOlCnT3P_1.jpg.296x216.jpg
20200208,闵行,老闵行,满五年，单价低，诚心出售，主卧带阳台，白银楼层必看好房,148万,2室1厅 | 59.67平米 | 西南 | 毛坯 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-258b0e33-2781-4a19-9510-e359addb2787.jpg.296x216.jpg
20200208,闵行,老闵行,万科小三房 中间位置 采光好 通风好 看房联系必看好房,385万,3室1厅 | 90.93平米 | 南 | 精装 | 高楼层(共28层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d4890329-3187-4cb2-a2cc-a3a4b1f6518a.jpg.296x216.jpg
20200208,闵行,老闵行,高华小区 1室1厅 150万必看好房,150万,1室1厅 | 45.09平米 | 南 | 精装 | 低楼层(共1层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bmKOXlTF5_1.jpg.296x216.jpg
20200208,闵行,老闵行,5号线江川路、满五年唯一、南北2房、配套全、带花园必看好房,197万,2室1厅 | 54.87平米 | 南 北 | 精装 | 低楼层(共4层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TwjIlc6gS_1.jpg.296x216.jpg
20200208,闵行,老闵行,临地跌，南北两房，满五唯一，居家必备，等您品鉴必看好房,148万,2室1厅 | 50.13平米 | 南 北 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Fb12rPmRd_1.jpg.296x216.jpg
20200208,闵行,老闵行,昆阳小区 2室1厅 145万必看好房,145万,2室1厅 | 60.38平米 | 南 | 其他 | 中楼层(共5层) | 1978年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1izywhhBM_1.jpg.296x216.jpg
20200208,闵行,老闵行,南北两房采光通风优，前后无遮挡视野好。必看好房,235万,2室1厅 | 78.18平米 | 南 | 毛坯 | 低楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_X4LmVehuL_1.jpg.296x216.jpg
20200208,闵行,老闵行,边套全明，两房朝南，采光好， 一楼带院子。必看好房,229万,2室1厅 | 77.22平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fXTUBYHLo_1.jpg.296x216.jpg
20200208,闵行,老闵行,一楼带院子，满五年唯一，位置好无遮挡必看好房,255万,2室1厅 | 56.22平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pPlHaaD4W_1.jpg.296x216.jpg
20200208,闵行,老闵行,绿地高楼层装修很好，南北通透格局采光好视野开阔必看好房,413万,3室2厅 | 96.26平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_G2utUGuUz_1.jpg.296x216.jpg
20200208,闵行,老闵行,鹤北新村二街坊，满五唯一，中间位置，诚心售卖必看好房,320万,2室2厅 | 82.26平米 | 南 | 精装 | 高楼层(共5层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Kd4yt4h55_1.jpg.296x216.jpg
20200208,闵行,老闵行,老闵行 房东诚心出售 价格可谈 满五唯一 看房方便必看好房,169万,2室1厅 | 61.19平米 | 南 | 简装 | 中楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PXSDH2WOp_1.jpg.296x216.jpg
20200208,闵行,老闵行,三明花园，两房双南全明户型，居家装修必看好房,318万,2室1厅 | 87.7平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7beac5ea-9ab5-4594-b581-749217317e9f.png.296x216.jpg
