20200208,徐汇,上海南站,汇成四村，低楼层三房，位置安静,530万,3室1厅 | 92.94平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_e1GIgscr7_1.jpg.296x216.jpg
20200208,徐汇,上海南站,体育花苑 3室1厅 542万,542万,3室1厅 | 81.01平米 | 南 | 其他 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IC1m5K2Bm_1.jpg.296x216.jpg
20200208,徐汇,上海南站,楼园小区 大三房 户型方正 售后公房 满五唯一,485万,3室1厅 | 86.85平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yxDf3RZsk_1.jpg.296x216.jpg
20200208,徐汇,上海南站,金牛苑 2室1厅 485万,485万,2室1厅 | 82.39平米 | 南 北 | 其他 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_n4gMBzyp6_1.jpg.296x216.jpg
20200208,徐汇,上海南站,双南小两房  产权清晰，配套成熟，精装修，采光通风好,410万,2室1厅 | 64.85平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fLOjvb1fZ_1.jpg.296x216.jpg
20200208,徐汇,上海南站,光华苑东边套小三房 全明格局 前排无遮挡 满五年,680万,3室1厅 | 82.77平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2915b0b8-7573-4c37-abf6-69f12dd5d60d.jpg.296x216.jpg
20200208,徐汇,上海南站,不靠石龙路，正气三房，交通便利，诚心出售，房主自荐,618万,3室2厅 | 103.47平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-18ce6f73-946b-4b01-8cb2-e43fa3b8b0a3.jpg.296x216.jpg
20200208,徐汇,上海南站,中间楼层，小区位置好，不靠马路，无厌恶设施,515万,2室1厅 | 61.08平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c5faba27-2007-4007-9a58-4435bd268a10.jpg.296x216.jpg
20200208,徐汇,上海南站,近上海南站 近上海植物园，出入方便,330万,2室1厅 | 65.63平米 | 南 | 其他 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AT7hsnGcQ_1.jpg.296x216.jpg
20200208,徐汇,上海南站,大三房 交通便利 配套成熟 生活舒适,520万,3室2厅 | 103.21平米 | 南 北 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-325a6833-bc31-4549-88cf-5c38257f3c9f.jpg.296x216.jpg
20200208,徐汇,上海南站,户型通透+无其他税+一楼带天井+诚意出售+看房方便房主自荐,288万,1室1厅 | 48.38平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d0625ebf-2c33-4890-912c-4dab4b8bb744.jpg.296x216.jpg
20200208,徐汇,上海南站,近地铁大三房 带阁楼 配套成熟 生活舒适便利房主自荐,950万,3室2厅 | 152.4平米 | 南 | 简装 | 高楼层(共5层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cc246ec9-6814-4aa4-b588-fcf5a6fe4588.jpg.296x216.jpg
20200208,徐汇,上海南站,近地铁 看房方便 户型方正 配套齐全 交通便利,420万,3室1厅 | 87.34平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c2d4a114-d146-4b61-b20c-d687153148cc.jpg.296x216.jpg
20200208,徐汇,上海南站,光华苑北区 2室2厅 820万,820万,2室2厅 | 104.82平米 | 南 | 其他 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_V7961f2Wo_1.jpg.296x216.jpg
20200208,徐汇,上海南站,汇成四村 少有边套，房型方正的房子  小区位置安静.,298万,2室1厅 | 58.4平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b2576696-106c-4bd1-afb3-12fd675cd62a.jpg.296x216.jpg
20200208,徐汇,上海南站,一梯两户 户型好 双南 厅朝北 全明户型 交通便利,340万,2室1厅 | 68.58平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fc10c7af-22a8-4bb4-9cb7-4f355e9584e4.jpg.296x216.jpg
20200208,徐汇,上海南站,南北通透大三房，楼层好，采光充足，位置安静房主自荐,705万,3室1厅 | 86.71平米 | 南 北 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3de3a407-7ba7-44a4-9386-98b9f6f3f421.jpg.296x216.jpg
20200208,徐汇,上海南站,房子南北双阳台 楼层适中上下楼方便  通风透气,350万,2室1厅 | 63.1平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e348f0f1-fa25-4086-be40-4ff67ffc6765.jpg.296x216.jpg
20200208,徐汇,上海南站,婚房装修，精致实用！格局通透+视野采光好+看房方便房主自荐,199万,1室1厅 | 39.4平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zPat9FaXG_1.jpg.296x216.jpg
20200208,徐汇,上海南站,中间楼层+满五唯一+税费少+全明户型,223万,1室1厅 | 40.82平米 | 南 | 其他 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_090ICbqbU_1.jpg.296x216.jpg
