district,town_name,description,listed_price,layout,total_area,direction,decoration_rate,stairs,built_year,building_type,rooms,living_rooms,floor_height,total_floors,m5w1,near_facilities,historical,log_price,binned_total_floors,living_room_ratio
pudong,jinqiao,看房便利有钥匙房源楼层好业主诚意出售,410.0,2室1厅 ,64.64, 南 , 简装 ,中楼层(共6层),1998-01-01, 板楼,2,1,中,6,不满五,False,False,6.016157159698354,low,0.5
pudong,tangzhen,一手动迁 满五唯一 位置安静 无隔断 无户口无抵押,354.5,2室2厅 ,87.3, 南 北 , 简装 ,高楼层(共6层),2009-01-01, 板楼,2,2,高,6,满五唯一,False,False,5.870708345972182,low,1.0
baoshan,dahua,近商圈，楼层采光好，厨卫全明，南北通风，干净清爽,295.0,2室1厅 ,64.28, 南 , 简装 ,高楼层(共6层),1996-01-01, 板楼,2,1,高,6,不满五,False,False,5.68697535633982,low,0.5
minhang,jinganxincheng,满五年，地铁口好房子，94年商品房，户型采光俱佳,398.0,2室2厅 ,75.83, 南 , 简装 ,低楼层(共6层),1994-01-01, 板楼,2,2,低,6,满五不唯一,True,False,5.986452005284438,low,1.0
pudong,kangqiao,装修满二年，自住保养，买进的，税费少业主置换,275.0,2室2厅 ,72.27, 南 , 精装 ,高楼层(共6层),2010-01-01, 板楼,2,2,高,6,不满五,False,False,5.616771097666572,low,1.0
baoshan,dahua,户型方正，客厅带窗的全明户型，近地铁,250.0,1室1厅 ,46.53, 南 , 简装 ,低楼层(共6层),1993-01-01, 板楼,1,1,低,6,不满五,True,False,5.521460917862246,low,1.0
pudong,weifang,小区中间低楼层大面积一房，诚心出售，看房提前联系,370.0,1室1厅 ,34.55, 南 , 简装 ,低楼层(共6层),1983-01-01, 板楼,1,1,低,6,不满五,False,False,5.91350300563827,low,1.0
xuhui,huajing,次新房，无增值税，位置安静，业主诚心出售,405.0,2室2厅 ,82.0, 南 , 精装 ,中楼层(共32层),2013-01-01, 板楼,2,2,中,32,不满五,False,False,6.003887067106539,high,1.0
pudong,wanxiangzhen,天健萃园 中高楼层 采光无遮挡 看房随时找维护人,210.0,2室2厅 ,74.8, 南 北 , 精装 ,中楼层(共15层),1994-01-01, 暂无数据,2,2,中,15,不满五,False,False,5.3471075307174685,low,1.0
pudong,yangjing,永安新村内环内 满五年不唯一税费少 有钥匙看房方便,190.0,1室1厅 ,32.87, 南 , 简装 ,高楼层(共6层),1990-01-01, 板楼,1,1,高,6,满五不唯一,False,False,5.247024072160486,low,1.0
pudong,jinyang,九号线地铁口，交通发达，业主急售,550.0,2室2厅 ,106.0, 南 , 精装 ,高楼层(共24层),1997-01-01, 塔楼,2,2,高,24,不满五,True,False,6.309918278226516,high,1.0
pudong,yangjing,动迁房满五税费少，南北两房实用强,525.0,2室1厅 ,50.82, 南 , 精装 ,高楼层(共6层),1997-01-01, 板楼,2,1,高,6,满五不唯一,False,False,6.263398262591624,low,0.5
baoshan,yuepu,满五唯一 精装修 大客厅 南北通透 不临街 配套齐全房主自荐,173.0,2室1厅 ,54.12, 南 北 , 精装 ,高楼层(共6层),1992-01-01, 板楼,2,1,高,6,满五唯一,False,False,5.153291594497779,low,0.5
pudong,yangjing,内环婚房装修+不靠马路+采光好+满二+产权清晰+无户口,205.0,1室1厅 ,38.06, 南 , 精装 ,高楼层(共6层),1981-01-01, 板楼,1,1,高,6,不满五,False,False,5.3230099791384085,low,1.0
minhang,meilong,品质小区 户型正气 满五唯一税费少  一梯两户得房率高,215.0,1室1厅 ,49.15, 南 , 精装 ,高楼层(共6层),1996-01-01, 板楼,1,1,高,6,满五唯一,False,False,5.3706380281276624,low,1.0
pudong,lujiazui,新装修带地暖+有车位+正看冲浪沙滩看房方便,1210.0,2室2厅 ,123.48, 西 , 精装 ,低楼层(共53层),1994-01-01, 板楼,2,2,低,53,不满五,False,False,7.098375638590786,very high,1.0
minhang,qibao,景观楼层视野开阔 买进价高  产权清晰 可比茂盛房主自荐,385.0,1室1厅 ,54.52, 南 , 简装 ,高楼层(共6层),1996-01-01, 板楼,1,1,高,6,不满五,False,False,5.953243334287785,low,1.0
